"filename", "language", "TypeScript", "TypeScript JSX", "JSON with Comments", "JSON", "JavaScript", "XML", "HTML", "PostCSS", "Log", "Markdown", "Shell Script", "MS SQL", "comment", "blank", "total"
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/.claude/launch.json", "JSON with Comments", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/.superpowers/brainstorm/83271-1779979306/content/design-summary.html", "HTML", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 2, 7, 84
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/.superpowers/brainstorm/83271-1779979306/content/hybrid-homepage-mockup.html", "HTML", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 6, 9, 70
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/.superpowers/brainstorm/83271-1779979306/content/nts-actual-reviews.html", "HTML", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 6, 10, 113
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/.superpowers/brainstorm/83271-1779979306/content/review-integration-options.html", "HTML", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 4, 52
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/.superpowers/brainstorm/83271-1779979306/content/top-3-reviews-mockup.html", "HTML", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 6, 9, 109
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/.superpowers/brainstorm/83271-1779979306/state/server.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 30, 112
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/check-db.js", "JavaScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"/Users/harleywilliams/websites/NTS Ltd website/nts-website/check_db.mjs", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
